Source, Target, Weight, Common_Token_Cnt
15357, 15368, 0.038462, 1
13835, 19565, 0.018868, 1
20943, 20945, 0.029412, 1
18361, 18362, 0.333333, 1
15807, 15809, 0.333333, 1
13282, 15135, 0.062500, 1
20949, 20957, 0.029412, 1
9631, 14372, 0.017241, 1
11306, 11306, 0.202099, 3
9736, 9736, 0.503165, 2
20470, 20470, 1.000000, 2
12937, 15844, 0.017241, 1
18996, 19001, 0.100000, 1
10704, 21315, 0.033333, 1
19949, 19950, 0.502016, 2
15351, 15351, 0.338859, 3
10809, 15100, 0.083333, 1
18430, 18430, 0.502257, 2
21316, 21331, 0.033333, 1
13767, 13767, 0.644940, 3
10680, 10688, 0.029412, 1
13411, 13411, 0.502591, 2
20092, 20096, 0.125000, 1
18543, 18544, 0.500742, 2
12993, 12993, 0.334076, 2
18298, 18298, 0.666667, 2
15329, 15329, 0.501263, 2
12945, 15846, 0.038462, 1
16916, 16917, 0.336867, 2
20952, 20969, 0.029412, 1
9126, 19350, 0.500000, 1
13564, 14182, 0.142857, 1
15140, 15145, 0.014286, 1
14228, 21134, 0.142857, 1
14412, 16797, 0.090909, 1
10711, 10716, 0.111111, 1
20556, 20557, 0.500000, 1
11449, 11449, 0.503165, 2
12143, 15319, 0.166667, 1
18734, 18734, 0.502191, 3
20934, 20934, 0.251671, 3
10708, 21431, 0.011111, 1
18864, 18871, 0.055556, 1
18859, 18864, 0.055556, 1
13699, 13701, 0.062500, 1
9396, 15137, 0.015625, 1
17418, 18044, 0.090909, 1
11900, 11904, 0.367247, 3
11183, 11183, 0.522136, 3
14525, 14525, 0.114141, 2
16585, 21431, 0.011111, 1
11979, 11979, 0.645531, 3
12685, 12686, 0.500000, 1
12965, 13730, 0.200000, 1
10627, 10804, 0.200000, 1
17473, 17473, 0.502045, 2
21220, 21221, 0.055556, 1
15112, 15128, 0.014286, 1
19282, 19283, 0.200000, 1
15825, 17055, 0.017241, 1
16275, 19588, 0.142857, 1
21247, 21250, 0.125000, 1
14398, 14398, 0.458333, 2
15834, 15839, 0.019378, 2
18932, 18933, 0.500000, 1
16503, 16508, 0.083333, 1
21667, 21667, 0.345238, 2
12866, 12867, 0.100000, 1
15825, 21657, 0.017241, 1
21325, 21563, 0.033333, 1
20947, 20954, 0.029412, 1
19218, 19221, 0.200000, 1
16547, 20632, 0.166667, 1
14677, 14680, 0.200000, 1
14368, 14369, 0.017241, 1
18977, 18977, 0.833333, 2
19913, 19913, 0.275000, 2
12662, 16372, 0.250000, 1
18477, 18477, 0.541263, 3
18525, 18528, 0.111111, 1
13938, 13940, 0.333333, 1
13551, 18861, 0.142857, 1
14788, 14790, 0.250000, 1
12160, 12163, 0.166667, 1
21404, 21404, 0.103936, 3
19036, 19036, 0.501357, 2
14364, 14388, 0.017241, 1
20840, 20840, 0.583333, 2
12104, 17662, 0.015625, 1
21289, 21297, 0.100000, 1
15140, 15149, 0.014286, 1
16221, 21569, 0.062500, 1
10964, 10967, 0.111111, 1
14335, 14336, 0.500000, 1
12729, 14988, 0.090909, 1
14128, 14130, 0.142857, 1
20942, 20952, 0.029412, 1
15831, 17055, 0.017241, 1
15327, 15327, 0.503534, 2
11545, 11545, 0.700000, 2
10048, 10049, 0.583333, 2
16813, 16814, 0.333333, 1
17239, 17239, 0.502045, 2
11569, 18846, 0.500000, 1
20138, 20139, 0.500000, 1
20950, 20959, 0.029412, 1
20418, 20418, 0.500929, 2
11071, 11072, 0.500742, 2
10476, 10477, 0.500000, 1
17304, 17304, 0.502674, 2
16732, 16733, 0.500000, 1
11169, 11174, 0.090909, 1
18025, 18026, 0.500000, 1
10123, 10124, 0.500000, 1
13132, 13133, 0.506173, 2
19940, 19941, 0.500000, 1
17270, 17270, 0.373333, 2
19221, 19222, 0.201357, 2
18394, 18401, 0.066667, 1
12355, 18781, 0.500000, 1
10680, 10705, 0.029412, 1
16036, 19554, 0.125000, 1
11745, 11747, 0.250000, 1
13913, 18395, 0.066667, 1
18562, 21055, 0.111111, 1
12342, 12342, 0.502137, 2
15088, 15100, 0.014286, 1
15102, 15150, 0.014286, 1
21291, 21295, 0.100000, 1
11265, 11265, 0.576923, 2
15261, 15262, 0.028571, 1
14356, 14357, 0.017241, 1
15945, 15945, 0.833333, 2
13794, 16603, 0.200000, 1
20707, 20708, 0.500000, 1
15496, 15498, 0.333333, 1
12817, 12819, 0.334690, 2
9136, 9136, 0.171629, 4
13184, 13188, 0.111111, 1
13327, 13328, 0.502137, 2
20963, 21432, 0.043478, 1
13465, 13465, 0.667929, 3
19299, 21427, 0.011111, 1
11287, 11288, 0.502045, 2
16897, 16898, 0.500000, 1
13840, 13842, 0.100000, 1
13047, 13047, 0.502099, 3
17011, 17988, 0.200000, 1
10705, 13499, 0.100000, 1
12706, 12709, 0.250000, 1
15936, 21275, 0.142857, 1
12719, 12719, 0.326808, 3
12219, 12220, 0.251808, 2
16079, 16080, 0.200000, 1
15593, 15593, 0.490909, 3
13689, 13699, 0.066406, 2
16069, 16069, 0.507407, 2
19801, 19804, 0.142857, 1
9100, 9100, 0.212121, 2
11987, 11987, 0.502016, 2
16723, 16725, 0.333333, 1
10902, 10903, 0.333333, 1
10814, 14048, 0.083333, 1
14449, 14450, 0.501808, 2
